0011,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0011&ver=11,Legislators,0,Election to a legislative body, or appointment to positions such as senator, lieutenant-governor or governor general, is required.
0012,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0012&ver=11,Senior government managers and officials,0,A university degree or college diploma is usually required.,A graduate degree in a related field may be required.,Several years of managerial experience in the public or private sector are required.
0013,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0013&ver=11,Senior managers - financial communications and other business services,0,A university degree in business administration, commerce, computer science or other discipline related to the service provided is usually required.,Several years of experience as a middle manager in financial, communications or other business services are usually required.,Specialization in a particular functional area or service is possible through specific university training in that area or through previous experience.,Senior managers in finance usually require a professional accounting designation.
0014,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0014&ver=11,Senior managers - health education social and community services and membership organizations,0,A university degree or college diploma in business administration, hospital administration, finance or other discipline related to the service provided is usually required.,Several years of experience as a middle manager in a related institution or organization are usually required.,Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.,Senior managers in finance usually require a professional accounting designation.
0015,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0015&ver=11,Senior managers - trade broadcasting and other services n.e.c.,0,A university degree or college diploma in business administration, finance or other discipline related to the service provided is usually required.,Several years of experience as a middle manager in trade, broadcasting or other service are usually required.,Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.,Senior managers in finance usually require a professional accounting designation.
0016,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0016&ver=11,Senior managers - construction transportation production and utilities,0,A university degree or college diploma in engineering, business administration, commerce or other discipline related to the company\'s product is usually required.,Several years of experience as a middle manager in goods production, utilities, transportation or construction are usually required.,Specialization in a particular functional area or product is possible through specific university or college training in that area or through previous experience.,Senior managers in finance usually require a professional accounting designation.
0111,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0111&ver=11,Financial managers,0,A bachelor\'s degree in business administration, economics, commerce or a related field is required.,A master\'s degree in business administration (concentration in finance), or another master\'s level management program may be required.,Several years of experience in accounting, auditing, budgeting, financial planning and analysis or other financial activities are required.,Accounting and audit managers may require a recognized accounting designation (CA, CMA or CGA).
0112,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0112&ver=11,Human resources managers,0,A bachelor\'s degree in a field related to personnel management, such as business administration, industrial relations, commerce or psychology \r<strong> or </strong>Completion of a professional development program in personnel administration is required.,Several years of experience as a personnel officer or human resource specialist are required.
0113,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0113&ver=11,Purchasing managers,0,A bachelor\'s degree or college diploma in business administration, commerce or economics is usually required.,Purchasing managers responsible for units purchasing specialized materials or business services may require a related degree or diploma.  For example, a bachelor\'s degree or college diploma in engineering may be required for purchasing managers responsible for purchasing industrial products.,The designation Supply Chain Management Professional (S.C.M.P.) or registration in the educational program of the Purchasing Management Association of Canada may be required.,Several years of experience as a purchasing agent or officer are required.
0114,http://noc.esdc.gc.ca/English/noc/Profile.aspx?val=0&val1=0114&ver=11,Other administrative services managers,0,A bachelor\'s degree or college diploma in business administration or a related administrative services field is usually required.,Several years of experience at a professional level in business administration, finance or administrative services are usually required.,An Associate of the Institute of the Chartered Secretaries and Administrators (ACIS), Fellow of the Institute of Chartered Secretaries and Administrators (FCIS) or a Professional Administrator (P Adm) designation may be required for some occupations in this group.,Certification in health information management by the Canadian Health Information Management Association (CHIMA) may be required.,In Quebec, certification with the Association qu\xc3\xa9b\xc3\xa9coise des archivistes m\xc3\xa9dicales may be required.
