3222,Dental hygienists and dental therapists
3223,Dental technologists technicians and laboratory assistants
3231,Opticians
3232,Practitioners of natural healing
3233,Licensed practical nurses
3234,Paramedical occupations
3236,Massage therapists
3237,Other technical occupations in therapy and assessment
3411,Dental assistants
3413,Nurse aides orderlies and patient service associates
3414,Other assisting occupations in support of health services
4011,University professors and lecturers
4012,Post-secondary teaching and research assistants
4021,College and other vocational instructors
4031,Secondary school teachers
4032,Elementary school and kindergarten teachers
4033,Educational counsellors
4111,Judges
4112,Lawyers and Quebec notaries
4151,Psychologists
4152,Social workers
4153,Family marriage and other related counsellors
4154,Professional occupations in religion
4155,Probation and parole officers and related occupations
4156,Employment counsellors
4161,Natural and applied science policy researchers consultants and program officers
4162,Economists and economic policy researchers and analysts
4163,Business development officers and marketing researchers and consultants
4164,Social policy researchers consultants and program officers
4165,Health policy researchers consultants and program officers
4166,Education policy researchers consultants and program officers
4167,Recreation sports and fitness policy researchers consultants and program officers
4168,Program officers unique to government
4169,Other professional occupations in social science n.e.c.
4211,Paralegal and related occupations
4212,Social and community service workers
4214,Early childhood educators and assistants
4215,Instructors of persons with disabilities
4216,Other instructors
4217,Other religious occupations
4311,Police officers (except commissioned)
4312,Firefighters
4313,Non-commissioned ranks of the Canadian Forces
4411,Home child care providers
4412,Home support workers housekeepers and related occupations
4413,Elementary and secondary school teacher assistants
4421,Sheriffs and bailiffs
4422,Correctional service officers
4423,By-law enforcement and other regulatory officers n.e.c.
5111,Librarians
5112,Conservators and curators
5113,Archivists
5121,Authors and writers
5122,Editors
5123,Journalists
5125,Translators terminologists and interpreters
5131,Producers directors choreographers and related occupations
5132,Conductors composers and arrangers
5133,Musicians and singers
5134,Dancers
5135,Actors and comedians
5136,Painters sculptors and other visual artists
5211,Library and public archive technicians
5212,Technical occupations related to museums and art galleries
5221,Photographers
5222,Film and video camera operators
5223,Graphic arts technicians
5224,Broadcast technicians
5225,Audio and video recording technicians
5226,Other technical and co-ordinating occupations in motion pictures broadcasting and the performing arts
5227,Support occupations in motion pictures broadcasting photography and the performing arts
5231,Announcers and other broadcasters
5232,Other performers n.e.c.
5241,Graphic designers and illustrators
