NOC #,Major Occupation Group,Occupation ,Proportion of tasks that can be automated (McKinsey & Company)," Average Income, 2011 ","Employed Canadian Labour Force, 2011",Probability of automation in the next 10-20 years (Frey and Osborne),Level of Education
6513,Service representatives and other customer and personal services occupations,Food and beverage servers,64.0%," $ 13,335 ","180,605",94.0%,C
6525,Service representatives and other customer and personal services occupations,Hotel front desk clerks,59.0%," $ 20,732 ","22,880",94.0%,C
7237,"Industrial, electrical and construction trades",Welders and related machine operators,93.0%," $ 45,726 ","89,240",94.0%,B
7282,"Industrial, electrical and construction trades",Concrete finishers,86.0%," $ 38,759 ","10,125",94.0%,B
1435,Office support occupations,Collectors,34.0%," $ 34,539 ","14,555",93.0%,C
6331,Service supervisors and specialized service occupations,"Butchers, meat cutters and fishmongers- retail and wholesale",93.0%," $ 27,076 ","20,570",93.0%,B
7335,Maintenance and equipment operation trades,Other small engine and small equipment repairers,92.0%," $ 29,345 ","3,480",93.0%,B
9462,Processing and manufacturing machine operators and related production workers,"Industrial butchers and meat cutters, poultry preparers and related workers",93.0%," $ 31,133 ","12,310",93.0%,C
6231,Retail sales supervisors and specialized sales occupations,Insurance agents and brokers,60.0%," $ 53,582 ","66,205",92.0%,B
6421,Sales representatives and salespersons - wholesale and retail trade,Retail salespersons,47.0%," $ 21,113 ","656,395",92.0%,C
7272,"Industrial, electrical and construction trades",Cabinetmakers,72.0%," $ 30,804 ","21,680",92.0%,B
7294,"Industrial, electrical and construction trades",Painters and decorators (except interior decorators),46.0%," $ 25,012 ","42,100",92.0%,B
6711,"Industrial, electrical and construction trades","Food counter attendants, kitchen helpers and related support occupations",78.0%," $ 11,948 ","312,820",91.5%,D
9537,"Service support and other service occupations, n.e.c.","Other products assemblers, finishers and inspectors",69.0%," $ 28,121 ","19,155",91.5%,C
1252,Assemblers in manufacturing,Health information management occupations,49.0%," $ 43,915 ","4,555",91.0%,B
2212,Administrative and financial supervisors and administrative occupations,Geological and mineral technologists and technicians,50.0%," $ 61,729 ","11,315",91.0%,B
6531,Technical occupations related to natural and applied sciences,Tour and travel guides,45.0%," $ 13,700 ","4,355",91.0%,C
6621,Service representatives and other customer and personal services occupations,Service station attendants,90.0%," $ 15,484 ","22,380",91.0%,D
7361,Sales support occupations,Railway and yard locomotive engineers,54.0%," $ 85,208 ","5,155",91.0%,B
9536,Maintenance and equipment operation trades,"Industrial painters, coaters and metal finishing process operators",97.0%," $ 38,249 ","13,255",91.0%,C
9422,Assemblers in manufacturing,Plastics processing machine operators,91.2%," $ 34,645 ","17,535",90.6%,C
1314,Processing and manufacturing machine operators and related production workers,"Assessors, valuators and appraisers",37.0%," $ 57,883 ","11,355",90.0%,B
1415,"Finance, insurance and related business administrative occupations",Personnel clerks,51.0%," $ 40,974 ","13,335",90.0%,C
3211,Office support occupations,Medical laboratory technologists,45.0%," $ 55,513 ","19,570",90.0%,B
7291,Technical occupations in health,Roofers and shinglers,31.0%," $ 30,281 ","22,275",90.0%,B
7371,"Industrial, electrical and construction trades",Crane operators,85.0%," $ 64,787 ","13,325",90.0%,B
