NOC #,Major Occupation Group,Occupation ,Proportion of tasks that can be automated (McKinsey & Company)," Average Income, 2011 ","Employed Canadian Labour Force, 2011",Probability of automation in the next 10-20 years (Frey and Osborne),Level of Education
4412,"Care providers and educational, legal and public protection support occupations","Home support workers, housekeepers and related occupations",17.0%," $ 21,191 ","92,575",63.0%,C
6311,Retail sales supervisors and specialized sales occupations,Food service supervisors ,58.0%," $ 22,695 ","35,545",63.0%,B
7311,Maintenance and equipment operation trades,Construction millwrights and industrial mechanics,60.0%," $ 61,246 ","68,700",63.0%,B
9231,"Processing, manufacturing and utilities supervisors and central control operators","Central control and process operators, mineral and metal processing",82.0%," $ 68,181 ","2,795",62.0%,B
2262,Technical occupations related to natural and applied sciences,Engineering inspectors and regulatory officers,46.0%," $ 66,694 ","5,290",61.0%,B
5226,"Technical occupations in art, culture, recreation and sport","Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",62.5%," $ 36,920 ","8,770",61.0%,B
6523,Service representatives and other customer and personal services occupations,Airline ticket and service agents,41.0%," $ 34,982 ","12,465",61.0%,C
6524,Service representatives and other customer and personal services occupations,"Ground and water transport ticket agents, cargo service representatives and related clerks",41.0%," $ 36,319 ","2,885",61.0%,C
9243,"Processing, manufacturing and utilities supervisors and central control operators",Water and waste treatment plant operators,70.0%," $ 53,587 ","10,855",61.0%,B
4422,"Care providers and educational, legal and public protection support occupations",Correctional service officers,41.0%," $ 60,742 ","22,495",60.0%,C
5222,"Technical occupations in art, culture, recreation and sport",Film and video camera operators,42.0%," $ 40,627 ","4,140",60.0%,B
3414,Assisting occupations in support of health services,Other assisting occupations in support of health services,53.4%," $ 29,105 ","27,960",59.4%,C
0132,Specialized middle management occupations,Postal and courier services managers,31.0%," $ 66,054 ","4,305",59.0%,0
0731,"Middle management occupations in trades, transportation, production and utilities",Managers in transportation,31.0%," $ 72,547 ","29,285",59.0%,0
5212,"Technical occupations in art, culture, recreation and sport",Technical occupations related to museums and art galleries,59.0%," $ 18,407 ","4,890",59.0%,B
7321,Maintenance and equipment operation trades,"Automotive service technicians, truck and bus mechanics and mechanical repairers",91.0%," $ 41,635 ","137,530",59.0%,B
7535,Transport and heavy equipment operation and related maintenance occupations,Other automotive mechanical installers and servicers,91.0%," $ 29,947 ","14,555",59.0%,C
2211,Technical occupations related to natural and applied sciences,Chemical technologists and technicians,53.0%," $ 46,165 ","26,180",57.0%,B
2234,Technical occupations related to natural and applied sciences,Construction estimators,14.0%," $ 62,844 ","16,405",57.0%,B
8211,"Trades helpers, construction labourers and related occupations","Supervisors, logging and forestry",40.0%," $ 51,248 ","3,100",57.0%,B
8252,"Supervisors and technical occupations in natural resources, agriculture and related production","Agricultural service contractors, farm supervisors and specialized livestock workers",40.0%," $ 28,096 ","9,825",57.0%,B
8255,"Supervisors and technical occupations in natural resources, agriculture and related production","Contractors and supervisors, landscaping, grounds maintenance and horticulture services",36.0%," $ 32,591 ","17,500",57.0%,B
4413,"Care providers and educational, legal and public protection support occupations",Elementary and secondary school teacher assistants,9.0%," $ 22,613 ","107,985",56.0%,C
5225,"Technical occupations in art, culture, recreation and sport",Audio and video recording technicians,36.0%," $ 35,936 ","12,540",55.0%,B
6551,Service representatives and other customer and personal services occupations,Customer and information services representatives- financial institutions,29.0%," $ 27,890 ","88,535",55.0%,C
6552,Service representatives and other customer and personal services occupations,Other customer and information services representatives,29.0%," $ 30,507 ","186,830",55.0%,C
3236,Technical occupations in health,Massage therapists,0.0%," $ 20,786 ","25,910",54.0%,B
2251,Technical occupations related to natural and applied sciences,Architectural technologists and technicians,21.0%," $ 45,711 ","9,255",52.0%,B
6343,Service supervisors and specialized service occupations,Shoe repairers and shoemakers,83.0%," $ 19,253 ","1,460",52.0%,B
3411,Assisting occupations in support of health services,Dental assistants,40.0%," $ 29,999 ","29,785",51.0%,C
7445,"Other installers, repairers and servicers and material handlers",Other repairers and servicers,57.0%," $ 32,842 ","12,495",50.0%,C
2123,Professional occupations in natural and applied sciences,"Agricultural representatives, consultants and specialists",3.0%," $ 51,980 ","6,340",49.0%,A
7245,"Industrial, electrical and construction trades",Telecommunications line and cable workers,36.0%," $ 51,876 ","13,510",49.0%,B
7442,"Other installers, repairers and servicers and material handlers",Waterworks and gas maintenance workers,47.5%," $ 53,006 ","5,325",48.5%,C
0821,"Middle management occupations in trades, transportation, production and utilities",Managers in agriculture,31.0%," $ 23,919 ","168,020",47.0%,0
0822,"Middle management occupations in trades, transportation, production and utilities",Managers in horticulture,31.0%," $ 47,214 ","4,725",47.0%,0
0823,"Middle management occupations in trades, transportation, production and utilities",Managers in aquaculture,31.0%," $ 41,840 ","1,170",47.0%,0
3212,Technical occupations in health,Medical laboratory technicians and pathologists' assistants,64.0%," $ 39,686 ","23,470",47.0%,B
1416,Office support occupations,Court clerks,54.0%," $ 40,993 ","2,570",46.0%,C
6563,Service representatives and other customer and personal services occupations,Pet groomers and animal care workers,6.5%," $ 14,817 ","16,365",46.0%,C
2115,Professional occupations in natural and applied sciences,Other professional occupations in physical sciences,60.0%," $ 72,187 ","2,040",43.0%,A
6561,Service representatives and other customer and personal services occupations,"Image, social and other personal consultants",54.4%," $ 27,936 ","3,295",42.4%,C
6562,Service representatives and other customer and personal services occupations,"Estheticians, electrologists and related occupations",54.4%," $ 17,194 ","42,340",42.4%,C
2223,Technical occupations related to natural and applied sciences,Forestry technologists and technicians,38.0%," $ 42,426 ","6,945",42.0%,B
1228,Administrative and financial supervisors and administrative occupations,"Employment insurance, immigration, border services and revenue officers",41.0%," $ 54,865 ","33,985",41.8%,B
2255,Technical occupations related to natural and applied sciences,Technical occupations in geometrics and meteorology,39.5%," $ 51,180 ","8,315",41.5%,B
2242,Technical occupations related to natural and applied sciences,Electronic service technicians (household and business equipment),44.0%," $ 39,423 ","44,655",41.0%,B
7235,"Industrial, electrical and construction trades",Structural metal and platework fabricators and fitters,92.0%," $ 47,232 ","6,045",41.0%,B
3219,Technical occupations in health,Other medical technologists and technicians (except dental health),53.0%," $ 28,126 ","45,545",40.0%,B
4111,"Professional occupations in law and social, community and government services",Judges,21.0%," $ 199,599 ","3,005",40.0%,A
6345,Service supervisors and specialized service occupations,Upholsterers,89.0%," $ 27,275 ","5,420",39.0%,B
7318,Maintenance and equipment operation trades,Elevator constructors and mechanics,30.0%," $ 76,714 ","4,550",39.0%,B
3413,Assisting occupations in support of health services,"Nurse aides, orderlies and patient service associates",38.7%," $ 28,213 ","194,250",38.5%,C
2154,Professional occupations in natural and applied sciences,Land surveyors,56.0%," $ 68,186 ","8,605",38.0%,A
2232,Technical occupations related to natural and applied sciences,Mechanical engineering technologists and technicians,23.0%," $ 57,985 ","20,335",38.0%,B
5125,Professional occupations in art and culture,"Translators, terminologists and interpreters",16.0%," $ 37,732 ","16,870",38.0%,A
4423,"Care providers and educational, legal and public protection support occupations","By-law enforcement and other regulatory officers, n.e.c.",25.0%," $ 49,442 ","8,180",37.7%,C
3237,Technical occupations in health,Other technical occupations in therapy and assessment,49.6%," $ 35,947 ","6,925",37.3%,B
5232,"Technical occupations in art, culture, recreation and sport","Other performers, n.e.c. ",15.5%," $ 16,302 ","3,675",37.1%,B
5135,Professional occupations in art and culture,Actors and comedians,," $ 18,778 ","7,805",37.0%,A
6346,Service supervisors and specialized service occupations,Funeral directors and embalmers,17.5%," $ 59,883 ","4,540",37.0%,B
6732,"Service support and other service occupations, n.e.c.",Specialized cleaners,16.0%," $ 22,617 ","38,960",37.0%,D
8411,"Supervisors and technical occupations in natural resources, agriculture and related production",Underground mine service and support workers,27.0%," $ 49,895 ","2,195",37.0%,C
8614,"Harvesting, landscaping and natural resources labourers",Mine labourers,27.0%," $ 45,462 ","3,390",37.0%,D
8615,"Harvesting, landscaping and natural resources labourers","Oil and gas drilling, servicing and related labourer",27.0%," $ 46,756 ","9,925",37.0%,D
2224,Technical occupations related to natural and applied sciences,Conservation and fishery officers,28.2%," $ 47,351 ","5,090",36.1%,B
0811,"Middle management occupations in trades, transportation, production and utilities",Managers in natural resources production and fishing,29.5%," $ 143,590 ","13,180",36.0%,0
7246,"Industrial, electrical and construction trades",Telecommunications installation and repair workers,40.0%," $ 50,658 ","24,835",36.0%,B
3216,Technical occupations in health,Medical sonographers,48.0%," $ 60,544 ","4,380",35.0%,B
6522,Service representatives and other customer and personal services occupations,Pursers and flight attendants,75.0%," $ 40,084 ","13,060",35.0%,C
7251,"Industrial, electrical and construction trades",Plumbers,50.0%," $ 47,019 ","47,200",35.0%,B
7252,"Industrial, electrical and construction trades","Steamfitter, pipefitter and sprinkler system installer",50.0%," $ 64,665 ","20,305",35.0%,B
7253,"Industrial, electrical and construction trades",Gas fitter,50.0%," $ 47,455 ","6,530",35.0%,B
1114,Professional occupations in business and finance,Other financial officers,1.0%," $ 77,301 ","92,395",33.0%,A
4161,"Professional occupations in law and social, community and government services","Natural and applied science policy researchers, consultants and program officers",13.5%," $ 66,933 ","24,855",33.0%,A
4162,"Professional occupations in law and social, community and government services",Economists and economic policy researchers and analysts,13.5%," $ 74,813 ","14,975",33.0%,A
0912,"Middle management occupations in trades, transportation, production and utilities",Utilities managers,34.5%," $ 130,038 ","11,585",31.0%,0
1223,Administrative and financial supervisors and administrative occupations,Human resources and recruitment officers,22.0%," $ 50,007 ","27,645",31.0%,B
1243,Administrative and financial supervisors and administrative occupations,Medical administrative assistants,54.0%," $ 32,418 ","14,960",30.0%,B
2221,Technical occupations related to natural and applied sciences,Biological technologists and technicians,69.0%," $ 38,067 ","10,320",30.0%,B
5112,Professional occupations in art and culture,Conservators and curators,42.5%," $ 40,135 ","1,790",29.8%,A
6222,"Technical occupations in art, culture, recreation and sport",Retail and wholesale buyers,5.0%," $ 34,910 ","33,005",29.0%,B
5251,"Technical occupations in art, culture, recreation and sport",Athletes,0.0%," $ 136,996 ","2,440",28.0%,B
6211,Retail sales supervisors and specialized sales occupations,Retail sales supervisors ,33.0%," $ 30,987 ","61,515",28.0%,B
6564,Service representatives and other customer and personal services occupations,Other personal service occupations,32.0%," $ 17,235 ",925,27.9%,C
2273,Technical occupations related to natural and applied sciences,"Deck officers, water transport",76.0%," $ 71,510 ","5,150",27.0%,B
7533,Transport and heavy equipment operation and related maintenance occupations,Boat and cable ferry operators and related occupations,76.0%," $ 37,706 ","2,120",27.0%,C
0131,Specialized middle management occupations,Telecommunication carriers managers,19.0%," $ 88,551 ","13,170",25.0%,0
0411,Specialized middle management occupations,Government managers- health and social development and program administration,28.0%," $ 90,523 ","5,770",25.0%,0
0412,Specialized middle management occupations,"Government managers- economic analysis, policy development and program administration",28.0%," $ 90,054 ","8,625",25.0%,0
0413,Specialized middle management occupations,Government managers- education policy development and program administration,28.0%," $ 93,889 ","1,060",25.0%,0
0414,Specialized middle management occupations,Other managers in public administration,28.0%," $ 87,426 ","10,330",25.0%,0
0511,Specialized middle management occupations,"Library, archive, museum and art gallery managers",28.0%," $ 57,416 ","4,345",25.0%,0
0512,Specialized middle management occupations,"Managers- publishing, motion pictures, broadcasting and performing arts",28.0%," $ 60,363 ","10,750",25.0%,0
0513,Specialized middle management occupations,"Recreation, sports and fitness program and service directors",28.0%," $ 45,272 ","12,540",25.0%,0
4155,"Professional occupations in law and social, community and government services",Probation and parole officers and related occupations,24.0%," $ 61,509 ","6,460",25.0%,A
6221,Retail sales supervisors and specialized sales occupations,Technical sales specialists- wholesale trade,37.0%," $ 75,271 ","65,250",25.0%,B
0125,Specialized middle management occupations,Other business services managers,24.4%," $ 76,612 ","12,975",23.2%,0
1112,Professional occupations in business and finance,Financial and investment analysts,11.0%," $ 73,346 ","37,245",23.0%,A
3215,Technical occupations in health,Medical radiation technologists,47.0%," $ 61,135 ","19,530",23.0%,B
3217,Technical occupations in health,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",45.0%," $ 44,410 ","2,655",23.0%,B
4163,"Professional occupations in law and social, community and government services",Business development officers and marketing researchers and consultants,18.0%," $ 60,403 ","48,895",23.0%,A
4168,"Professional occupations in law and social, community and government services",Program officers unique to government,18.0%," $ 40,582 ","18,370",23.0%,A
4421,"Care providers and educational, legal and public protection support occupations",Sheriffs and bailiffs,33.5%," $ 54,101 ","2,805",22.9%,C
2147,Professional occupations in natural and applied sciences,Computer engineers (except software engineers and designers),25.0%," $ 81,062 ","25,625",22.0%,A
2283,Technical occupations related to natural and applied sciences,Information systems testing technicians,21.0%," $ 47,095 ","7,215",22.0%,B
2175,Professional occupations in natural and applied sciences,Web designers and developers,45.0%," $ 37,656 ","22,740",21.0%,A
0621,Middle management occupations in retail and wholesale trade and customer services,Retail and wholesale trade managers,28.0%," $ 49,043 ","363,285",20.5%,0
1121,Professional occupations in business and finance,Human resource professionals,11.0%," $ 62,819 ","60,120",20.1%,A
2271,Technical occupations related to natural and applied sciences,"Air pilots, flight engineers and flying instructors",72.0%," $ 89,101 ","15,635",18.0%,B
0651,Middle management occupations in retail and wholesale trade and customer services,"Managers in customer and personal services, n.e.c.",48.5%," $ 34,986 ","28,485",17.1%,0
4312,Occupations in front-line public protection services,Firefighters,40.0%," $ 77,105 ","31,825",17.0%,B
7201,"Industrial, electrical and construction trades","Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",38.0%," $ 67,453 ","14,090",17.0%,B
7202,"Industrial, electrical and construction trades","Contractors and supervisors, electrical trades and telecommunications occupations",38.0%," $ 77,678 ","12,860",17.0%,B
7203,"Industrial, electrical and construction trades","Contractors and supervisors, pipefitting trades",38.0%," $ 81,590 ","5,455",17.0%,B
7204,"Industrial, electrical and construction trades","Contractors and supervisors, carpentry trades",38.0%," $ 54,065 ","13,370",17.0%,B
7205,"Industrial, electrical and construction trades","Contractors and supervisors, other construction trades, installers, repairers and servicers",38.0%," $ 48,933 ","26,040",17.0%,B
8221,"Supervisors and technical occupations in natural resources, agriculture and related production","Supervisors, mining and quarrying",38.0%," $ 98,984 ","6,225",17.0%,B
8222,"Supervisors and technical occupations in natural resources, agriculture and related production","Contractors and supervisors, oil and gas drilling and services",38.0%," $ 113,164 ","13,320",17.0%,B
1423,Office support occupations,Desktop publishing operators and related occupations,70.0%," $ 37,032 ","1,940",16.0%,C
2145,Professional occupations in natural and applied sciences,Petroleum engineers,19.0%," $ 152,721 ","9,315",16.0%,A
2161,Professional occupations in natural and applied sciences,"Mathematicians, statisticians and actuaries",13.3%," $ 84,795 ","11,455",15.9%,A
3232,Technical occupations in health,Practitioners of natural healing,19.0%," $ 17,942 ","7,025",15.8%,B
2121,Professional occupations in natural and applied sciences,Biologist and related scientists,42.0%," $ 60,060 ","21,020",15.6%,A
7241,"Industrial, electrical and construction trades",Electricians,59.0%," $ 51,544 ","86,080",15.0%,B
7242,"Industrial, electrical and construction trades",Industrial electricians,59.0%," $ 73,846 ","24,800",15.0%,B
7243,"Industrial, electrical and construction trades",Power system electrician,59.0%," $ 77,017 ","6,120",15.0%,B
4164,"Professional occupations in law and social, community and government services","Social policy researchers, consultants and program officers",16.5%," $ 56,671 ","27,055",14.5%,A
4165,"Professional occupations in law and social, community and government services","Health policy researchers, consultants and program officers",16.5%," $ 55,144 ","28,470",14.5%,A
4166,"Professional occupations in law and social, community and government services","Education policy researchers, consultants and program officers",16.5%," $ 54,553 ","24,070",14.5%,A
4167,"Professional occupations in law and social, community and government services","Recreation, sports and fitness policy researchers, consultants and program officers",16.5%," $ 38,877 ","10,790",14.5%,A
2143,Professional occupations in natural and applied sciences,Mining engineers,24.0%," $ 122,472 ","3,710",14.0%,A
2144,Professional occupations in natural and applied sciences,Geological engineers,24.0%," $ 98,770 ","2,390",14.0%,A
3121,Professional occupations in health (except nursing),Optometrists,36.0%," $ 93,262 ","4,865",14.0%,A
2153,Professional occupations in natural and applied sciences,Urban and land use planners,3.0%," $ 67,086 ","10,640",13.0%,A
5134,Professional occupations in art and culture,Dancers,," $ 13,460 ","7,730",13.0%,A
6313,Service supervisors and specialized service occupations,"Accommodation, travel, tourism and related services supervisors",40.3%," $ 43,884 ","6,390",11.4%,B
2171,Professional occupations in natural and applied sciences,Information systems analysts and consultants,38.0%," $ 69,692 ","146,835",11.3%,A
0014,Senior management occupations,"Senior managers- health, education, social and community services and membership organizations",19.8%," $ 96,268 ","25,300",11.0%,0
2272,Technical occupations related to natural and applied sciences,Air traffic controllers and related occupations,56.0%," $ 95,792 ","5,045",11.0%,B
5123,Professional occupations in art and culture,Journalists,15.0%," $ 46,621 ","13,280",11.0%,A
6341,Service supervisors and specialized service occupations,Hairstylists and barbers,65.0%," $ 18,124 ","91,500",11.0%,B
2148,Professional occupations in natural and applied sciences,"Other professional engineers, n.e.c.",15.3%," $ 80,194 ","5,675",10.8%,A
2112,Professional occupations in natural and applied sciences,Chemists,37.0%," $ 64,001 ","15,450",10.0%,A
5231,"Technical occupations in art, culture, recreation and sport",Announcers and other broadcasters,20.0%," $ 41,577 ","6,670",10.0%,B
6321,Service supervisors and specialized service occupations,Chefs,54.0%," $ 28,898 ","52,525",10.0%,B
6521,Service representatives and other customer and personal services occupations,Travel counsellors,73.0%," $ 29,664 ","24,780",9.9%,C
0431,Specialized middle management occupations,Commissioned police officers,19.0%," $ 98,009 ","2,200",9.8%,0
4311,Occupations in front-line public protection services,Police officers (except commissioned),19.0%," $ 82,189 ","80,675",9.8%,B
7244,"Industrial, electrical and construction trades",Electrical power line and cable workers,40.0%," $ 77,574 ","11,365",9.7%,B
0012,Senior management occupations,Senior government managers and officials,24.0%," $ 97,517 ","19,840",8.8%,0
0013,Senior management occupations,"Senior managers- financial, communications and other business services",24.0%," $ 160,560 ","54,880",8.8%,0
0015,Senior management occupations,"Senior managers- trade, broadcasting and other services, n.e.c.",24.0%," $ 125,102 ","49,905",8.8%,0
0016,Senior management occupations,"Senior managers - construction, transportation, production and utilities",24.0%," $ 175,909 ","54,710",8.8%,0
2173,Professional occupations in natural and applied sciences,Software engineers and designers,17.0%," $ 79,859 ","37,330",8.6%,A
5254,"Technical occupations in art, culture, recreation and sport","Program leaders and instructors in recreation, sport and fitness ",11.0%," $ 11,605 ","82,480",8.5%,B
4411,"Care providers and educational, legal and public protection support occupations",Home child care providers,19.0%," $ 13,405 ","62,605",8.4%,C
5241,"Technical occupations in art, culture, recreation and sport",Graphic designers and illustrators,10.0%," $ 36,068 ","55,190",8.2%,B
2263,Technical occupations related to natural and applied sciences,Inspectors in public and environmental health and occupational health and safety,24.0%," $ 63,815 ","28,730",8.0%,B
6314,Service supervisors and specialized service occupations,Customer and information services supervisors,45.0%," $ 46,323 ","14,040",7.6%,B
6316,Service supervisors and specialized service occupations,Other services supervisors,45.0%," $ 34,183 ","15,395",7.6%,B
5133,Professional occupations in art and culture,Musicians and singers,," $ 16,778 ","32,290",7.4%,A
0711,"Middle management occupations in trades, transportation, production and utilities",Construction managers,17.0%," $ 75,676 ","72,000",7.1%,0
0712,"Middle management occupations in trades, transportation, production and utilities",Home building and renovation managers,17.0%," $ 36,693 ","36,665",7.1%,0
1122,Professional occupations in business and finance,Professional occupations in business management consulting,3.0%," $ 69,542 ","62,005",7.1%,A
2111,Professional occupations in natural and applied sciences,Physicists and astronomers,9.5%," $ 82,483 ","2,920",7.1%,A
0111,Specialized middle management occupations,Financial managers,34.0%," $ 90,078 ","73,145",6.9%,0
0122,Specialized middle management occupations,"Banking, credit and other investment managers",34.0%," $ 98,088 ","73,450",6.9%,0
3214,Technical occupations in health,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",39.0%," $ 58,518 ","9,605",6.6%,B
2133,Professional occupations in natural and applied sciences,Electrical and electronics engineers,21.0%," $ 84,856 ","42,370",6.3%,A
4169,"Professional occupations in law and social, community and government services","Other professional occupations in social science, n.e.c.",15.0%," $ 48,049 ","6,545",5.9%,A
3233,Technical occupations in health,Licensed practical nurses,16.0%," $ 37,948 ","55,545",5.8%,B
3124,Professional occupations in health (except nursing),Allied primary health practitioners,17.0%," $ 72,524 ","4,715",5.5%,A
5122,Professional occupations in art and culture,Editors,9.0%," $ 40,118 ","17,445",5.5%,A
3234,Technical occupations in health,Paramedical occupations,35.0%," $ 60,738 ","24,715",4.9%,B
5223,"Technical occupations in art, culture, recreation and sport",Graphic arts technicians,6.0%," $ 36,030 ","9,830",4.9%,B
2174,Professional occupations in natural and applied sciences,Computer programmers and interactive media developers,40.0%," $ 60,066 ","98,600",4.8%,A
2152,Professional occupations in natural and applied sciences,Landscape architects,15.0%," $ 53,403 ","1,735",4.5%,A
0631,Middle management occupations in retail and wholesale trade and customer services,Restaurant and food service managers,7.0%," $ 35,501 ","114,560",4.3%,0
5136,Professional occupations in art and culture,"Painters, sculptors and other visual artists",24.0%," $ 16,140 ","15,135",4.2%,A
1123,Professional occupations in business and finance,"Professional occupations in advertising, marketing and public relations",13.0%," $ 51,577 ","74,135",3.9%,A
3114,Professional occupations in health (except nursing),Veterinarians,12.0%," $ 75,811 ","9,230",3.8%,A
5121,Professional occupations in art and culture,Authors and writers,13.0%," $ 35,643 ","24,355",3.8%,A
1226,Administrative and financial supervisors and administrative occupations,Conference and event planners,9.0%," $ 34,616 ","20,665",3.7%,B
2252,Technical occupations related to natural and applied sciences,Industrial designers,3.0%," $ 47,468 ","7,405",3.7%,B
0213,Specialized middle management occupations,Computer and information systems managers,19.0%," $ 97,444 ","52,935",3.5%,0
4112,"Professional occupations in law and social, community and government services",Lawyers and Quebec notaries,23.0%," $ 135,937 ","80,515",3.5%,A
4011,Professional occupations in education services,University professors and lecturers,9.2%," $ 81,771 ","69,010",3.2%,A
4021,Professional occupations in education services,College and other vocational instructors,9.2%," $ 52,114 ","99,000",3.2%,A
0113,Specialized middle management occupations,Purchasing managers,36.0%," $ 84,906 ","14,870",3.0%,0
0911,"Middle management occupations in trades, transportation, production and utilities",Manufacturing managers,38.0%," $ 83,373 ","72,920",3.0%,0
2172,Professional occupations in natural and applied sciences,Database analysts and data administrators,48.0%," $ 65,675 ","14,920",3.0%,A
2233,Technical occupations related to natural and applied sciences,Industrial engineering and manufacturing technologists and technicians,7.0%," $ 52,213 ","19,525",3.0%,B
2281,Technical occupations related to natural and applied sciences,Computer network technicians,71.0%," $ 55,047 ","62,590",3.0%,B
2141,Professional occupations in natural and applied sciences,Industrial and manufacturing engineers,11.0%," $ 74,474 ","15,825",2.9%,A
3213,Technical occupations in health,Animal health technologists and veterinary technicians,53.0%," $ 26,869 ","13,560",2.9%,B
3122,Professional occupations in health (except nursing),Chiropractors,4.0%," $ 61,186 ","6,905",2.7%,A
4154,"Professional occupations in law and social, community and government services",Professional occupations in religion,0.0%," $ 43,729 ","30,610",2.5%,A
4217,"Paraprofessional occupations in legal, social, community and education services",Other religious occupations,0.0%," $ 25,587 ","7,355",2.5%,B
0124,Specialized middle management occupations,"Advertising, marketing and public relations managers",9.7%," $ 76,959 ","56,220",2.3%,0
5131,Professional occupations in art and culture,"Producers, directors, choreographers and related occupations",12.0%," $ 50,240 ","21,655",2.2%,A
5242,"Technical occupations in art, culture, recreation and sport",Interior designers and interior decorators,12.0%," $ 31,418 ","22,720",2.2%,B
2142,Professional occupations in natural and applied sciences,Metallurgical and materials engineers,18.0%," $ 85,164 ","2,405",2.1%,A
3142,Professional occupations in health (except nursing),Physiotherapists,32.0%," $ 54,162 ","20,950",2.1%,A
4153,"Professional occupations in law and social, community and government services","Family, marriage and other related counsellors",16.0%," $ 41,949 ","26,450",2.1%,A
5221,"Technical occupations in art, culture, recreation and sport",Photographers,27.0%," $ 21,584 ","14,825",2.1%,B
3125,Professional occupations in health (except nursing),Other professional occupations in health diagnosing and treating ,22.0%," $ 39,418 ","3,855",2.0%,A
2131,Professional occupations in natural and applied sciences,Civil engineers,13.0%," $ 83,276 ","50,340",1.9%,A
2151,Professional occupations in natural and applied sciences,Architects,11.0%," $ 70,528 ","15,255",1.8%,A
0211,Specialized middle management occupations,Engineering managers,17.0%," $ 121,257 ","17,795",1.7%,0
0212,Specialized middle management occupations,Architecture and science managers,17.0%," $ 90,159 ","7,500",1.7%,0
2134,Professional occupations in natural and applied sciences,Chemical engineers,38.0%," $ 98,509 ","11,400",1.7%,A
2146,Professional occupations in natural and applied sciences,Aerospace engineers,14.0%," $ 75,954 ","6,010",1.7%,A
1113,Professional occupations in business and finance,"Securities agents, investment dealers and brokers",46.0%," $ 132,247 ","17,165",1.6%,A
6235,Retail sales supervisors and specialized sales occupations,Financial sales representatives,46.0%," $ 49,948 ","53,880",1.6%,B
7303,Maintenance and equipment operation trades,"Supervisors, printing and related occupations",75.2%," $ 51,957 ","4,370",1.6%,B
9211,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, mineral and metal processing",33.0%," $ 69,548 ","7,035",1.6%,B
9212,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, petroleum, gas and chemical processing and utilities",33.0%," $ 88,168 ","13,810",1.6%,B
9213,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, food, beverage and associated products processing",33.0%," $ 50,341 ","12,945",1.6%,B
9214,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, plastic and rubber products manufacturing",33.0%," $ 49,787 ","5,730",1.6%,B
9215,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, forest products processing",33.0%," $ 63,835 ","6,630",1.6%,B
9217,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, textile, fabric, fur and leather products processing and manufacturing",33.0%," $ 41,020 ","1,965",1.6%,B
9221,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, motor vehicle assembling",33.0%," $ 70,201 ","5,320",1.6%,B
9222,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, electronics manufacturing",33.0%," $ 55,702 ","1,880",1.6%,B
9223,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, electrical products manufacturing",33.0%," $ 55,846 ","1,045",1.6%,B
9224,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, furniture and fixtures manufacturing",33.0%," $ 45,278 ","2,860",1.6%,B
9226,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, other mechanical and metal products manufacturing",33.0%," $ 62,855 ","3,660",1.6%,B
9227,"Processing, manufacturing and utilities supervisors and central control operators","Supervisors, other products manufacturing and assembly",33.0%," $ 47,032 ","2,815",1.6%,B
0011,Senior management occupations,Legislators ,4.0%," $ 56,003 ","7,465",1.5%,0
5132,Professional occupations in art and culture,"Conductors, composers and arrangers",0.0%," $ 27,603 ","3,215",1.5%,A
1211,Administrative and financial supervisors and administrative occupations,"Supervisors, general office and administrative support workers",22.0%," $ 54,685 ","11,510",1.4%,B
1212,Administrative and financial supervisors and administrative occupations,"Supervisors, finance and insurance office workers",22.0%," $ 58,776 ","15,720",1.4%,B
1213,Administrative and financial supervisors and administrative occupations,"Supervisors, library, correspondence and related information workers",22.0%," $ 29,632 ","6,390",1.4%,B
1214,Administrative and financial supervisors and administrative occupations,"Supervisors, mail and message distribution occupations",22.0%," $ 46,921 ","8,820",1.4%,B
1215,Administrative and financial supervisors and administrative occupations,"Supervisors, supply chain, tracking and scheduling coordination",22.0%," $ 51,139 ","34,960",1.4%,B
5243,"Technical occupations in art, culture, recreation and sport","Theatre, fashion, exhibit and other creative designers",19.5%," $ 29,553 ","11,865",1.3%,B
0601,Middle management occupations in retail and wholesale trade and customer services,Corporate sales managers,7.0%," $ 89,412 ","80,045",1.3%,0
5252,"Technical occupations in art, culture, recreation and sport",Coaches,28.0%," $ 31,076 ","8,925",1.3%,B
3131,Professional occupations in health (except nursing),Pharmacist,47.0%," $ 89,908 ","32,190",1.2%,A
3144,Professional occupations in health (except nursing),Other professional occupations in therapy and assessment,17.2%," $ 34,498 ","8,895",1.2%,A
4215,"Paraprofessional occupations in legal, social, community and education services",Instructors of persons with disabilities,7.4%," $ 35,340 ","20,945",1.2%,B
