Journalists
Hairstylists and barbers
Other professional engineers, n.e.c.
Chemists
Announcers and other broadcasters
Chefs
Travel counsellors
Commissioned police officers
Police officers (except commissioned)
Electrical power line and cable workers
Senior government managers and officials
Senior managers- financial, communications and other business services
Senior managers- trade, broadcasting and other services, n.e.c.
Senior managers - construction, transportation, production and utilities
Software engineers and designers
Program leaders and instructors in recreation, sport and fitness
Home child care providers
Graphic designers and illustrators
Inspectors in public and environmental health and occupational health and safety
Customer and information services supervisors
Other services supervisors
Musicians and singers
Construction managers
Home building and renovation managers
Professional occupations in business management consulting
Physicists and astronomers
Financial managers
Banking, credit and other investment managers
Respiratory therapists, clinical perfusionists and cardiopulmonary technologists
Electrical and electronics engineers
Other professional occupations in social science, n.e.c.
Licensed practical nurses
Allied primary health practitioners
Editors
Paramedical occupations
Graphic arts technicians
Computer programmers and interactive media developers
Landscape architects
Restaurant and food service managers
Painters, sculptors and other visual artists
Professional occupations in advertising, marketing and public relations
Veterinarians
Authors and writers
Conference and event planners
Industrial designers
Computer and information systems managers
Lawyers and Quebec notaries
University professors and lecturers
College and other vocational instructors
Purchasing managers
Manufacturing managers
Database analysts and data administrators
Industrial engineering and manufacturing technologists and technicians
Computer network technicians
Industrial and manufacturing engineers
Animal health technologists and veterinary technicians
Chiropractors
Professional occupations in religion
Other religious occupations
Advertising, marketing and public relations managers
Producers, directors, choreographers and related occupations
Interior designers and interior decorators
Metallurgical and materials engineers
Physiotherapists
Family, marriage and other related counsellors
Photographers
Other professional occupations in health diagnosing and treating
Civil engineers
Architects
Engineering managers
Architecture and science managers
Chemical engineers
Aerospace engineers
Securities agents, investment dealers and brokers
Financial sales representatives
Supervisors, printing and related occupations
Supervisors, mineral and metal processing
Supervisors, petroleum, gas and chemical processing and utilities
Supervisors, food, beverage and associated products processing
Supervisors, plastic and rubber products manufacturing
Supervisors, forest products processing
Supervisors, textile, fabric, fur and leather products processing and manufacturing
Supervisors, motor vehicle assembling
Supervisors, electronics manufacturing
Supervisors, electrical products manufacturing
Supervisors, furniture and fixtures manufacturing
Supervisors, other mechanical and metal products manufacturing
Supervisors, other products manufacturing and assembly
Legislators
Conductors, composers and arrangers
Supervisors, general office and administrative support workers
Supervisors, finance and insurance office workers
Supervisors, library, correspondence and related information workers
Supervisors, mail and message distribution occupations
Supervisors, supply chain, tracking and scheduling coordination
Theatre, fashion, exhibit and other creative designers
Corporate sales managers
Coaches
Pharmacist
Other professional occupations in therapy and assessment
Instructors of persons with disabilities
Social workers
Social and community service workers
Mechanical engineers
Administrators- post-secondary education and vocational training
Engineer officers, water transport
School principals and administrators of elementary and secondary education
Other instructors
Registered nurses and registered psychiatric nurses
Educational counsellors
Employment counsellors
Forestry professionals
Silviculture and forestry workers
Secondary school teachers
Early childhood educators and assistants
Managers in health care
Nursing coordinators and supervisors
Psychologists
Managers in social, community and correctional services
Outdoor sport and recreational guides
Human resources managers
Patternmakers- textile, leather and fur products
Audiologists and speech-language pathologists
Dentists
Denturists
Elementary school and kindergarten teachers
Specialist physicians
General practitioners and family physicians
Accommodation service managers
Dietitians and nutritionists
Fire chiefs and senior firefighting officer
Occupational therapists
